"Type"	"PvA"	"Gene"	"n"	"n_dep"	"lrt_rate"	"n_PvA"	"type_lrt_rate"	"p.value"	"p.value.adj"	"Group"
"Head And Neck"	"Adult"	"MYCN (4613)"	33	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"MYCN (4613)"	21	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"MYCN (4613)"	22	1	0.00523560209424084	3	0.00174520069808028	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"MYCN (4613)"	24	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"MYCN (4613)"	2	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"MYCN (4613)"	1	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"MYCN (4613)"	7	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"MYCN (4613)"	1	1	0.207317073170732	17	0.0121951219512195	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"MYCN (4613)"	1	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"MYCN (4613)"	1	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"MYCN (4613)"	1	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"MYCN (4613)"	2	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"MYCN (4613)"	5	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"MYCN (4613)"	2	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"MYCN (4613)"	1	1	0.207317073170732	17	0.0121951219512195	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"MYCN (4613)"	1	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"MYCN (4613)"	2	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"MYCN (4613)"	5	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"MYCN (4613)"	4	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"PAX8 (7849)"	35	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"PAX8 (7849)"	29	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"PAX8 (7849)"	76	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"PAX8 (7849)"	38	18	0.087260034904014	50	0.031413612565445	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"PAX8 (7849)"	53	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"PAX8 (7849)"	33	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"PAX8 (7849)"	31	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"PAX8 (7849)"	2	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"PAX8 (7849)"	45	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"PAX8 (7849)"	2	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"PAX8 (7849)"	14	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"PAX8 (7849)"	25	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"PAX8 (7849)"	1	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"PAX8 (7849)"	8	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"PAX8 (7849)"	19	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"PAX8 (7849)"	8	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"PAX8 (7849)"	9	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"PAX8 (7849)"	10	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"PAX8 (7849)"	1	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"PAX8 (7849)"	20	14	0.087260034904014	50	0.0244328097731239	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"PAX8 (7849)"	3	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"PAX8 (7849)"	5	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"PAX8 (7849)"	11	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"PAX8 (7849)"	25	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"PAX8 (7849)"	16	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"PAX8 (7849)"	33	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"PAX8 (7849)"	21	1	0.087260034904014	50	0.00174520069808028	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"PAX8 (7849)"	22	11	0.087260034904014	50	0.0191972076788831	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"PAX8 (7849)"	24	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"PAX8 (7849)"	2	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"PAX8 (7849)"	1	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"PAX8 (7849)"	7	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"PAX8 (7849)"	1	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"PAX8 (7849)"	1	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"PAX8 (7849)"	1	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"PAX8 (7849)"	1	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"PAX8 (7849)"	2	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"PAX8 (7849)"	5	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"PAX8 (7849)"	2	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"PAX8 (7849)"	1	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"PAX8 (7849)"	1	0	0	0	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"PAX8 (7849)"	2	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"PAX8 (7849)"	5	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"PAX8 (7849)"	4	0	0.087260034904014	50	0	"0.00243115704927886"	"0.0309567330941508"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"HNF1B (6928)"	35	8	0.169284467713787	97	0.0139616055846422	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"HNF1B (6928)"	29	3	0.169284467713787	97	0.00523560209424084	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"HNF1B (6928)"	76	11	0.169284467713787	97	0.0191972076788831	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"HNF1B (6928)"	38	9	0.169284467713787	97	0.0157068062827225	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"HNF1B (6928)"	53	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"HNF1B (6928)"	33	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"HNF1B (6928)"	31	9	0.169284467713787	97	0.0157068062827225	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"HNF1B (6928)"	2	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"HNF1B (6928)"	45	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"HNF1B (6928)"	2	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"HNF1B (6928)"	14	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"HNF1B (6928)"	25	9	0.169284467713787	97	0.0157068062827225	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"HNF1B (6928)"	1	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"HNF1B (6928)"	8	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"HNF1B (6928)"	19	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"HNF1B (6928)"	8	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"HNF1B (6928)"	9	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"HNF1B (6928)"	10	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"HNF1B (6928)"	1	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"HNF1B (6928)"	20	14	0.169284467713787	97	0.0244328097731239	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"HNF1B (6928)"	3	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"HNF1B (6928)"	5	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"HNF1B (6928)"	11	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"HNF1B (6928)"	25	10	0.169284467713787	97	0.0174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"HNF1B (6928)"	16	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"HNF1B (6928)"	33	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"HNF1B (6928)"	21	7	0.169284467713787	97	0.012216404886562	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"HNF1B (6928)"	22	9	0.169284467713787	97	0.0157068062827225	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Esophageal"	"Adult"	"HNF1B (6928)"	24	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Leiomyosarcoma"	"Adult"	"HNF1B (6928)"	2	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Chondrosarcoma"	"Adult"	"HNF1B (6928)"	1	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Cervical"	"Adult"	"HNF1B (6928)"	7	1	0.169284467713787	97	0.00174520069808028	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Pediatric Glioma"	"Pediatric"	"HNF1B (6928)"	1	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Hepatoblastoma"	"Pediatric"	"HNF1B (6928)"	1	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Lung Carcinoid"	"Adult"	"HNF1B (6928)"	1	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Renal Medullary Carcinoma"	"Pediatric"	"HNF1B (6928)"	1	1	0.0121951219512195	1	0.0121951219512195	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Pediatric Sarcoma"	"Pediatric"	"HNF1B (6928)"	2	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Synovial Sarcoma"	"Pediatric"	"HNF1B (6928)"	5	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"SCCOHT"	"Adult"	"HNF1B (6928)"	2	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Retinoblastoma"	"Pediatric"	"HNF1B (6928)"	1	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Pediatric Germ Cell"	"Pediatric"	"HNF1B (6928)"	1	0	0.0121951219512195	1	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
pediatric lines
dependent"
"Uveal Melanoma"	"Adult"	"HNF1B (6928)"	2	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Liposarcoma"	"Adult"	"HNF1B (6928)"	5	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Chordoma"	"Adult"	"HNF1B (6928)"	4	0	0.169284467713787	97	0	"0.000101397489113568"	"0.00215535906529081"	"Fraction of
adult lines
dependent"
"Colon/Colorectal"	"Adult"	"BRAF (673)"	35	9	0.116928446771379	67	0.0157068062827225	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"BRAF (673)"	29	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"BRAF (673)"	76	2	0.116928446771379	67	0.00349040139616056	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"BRAF (673)"	38	4	0.116928446771379	67	0.00698080279232112	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"BRAF (673)"	53	38	0.116928446771379	67	0.0663176265270506	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"BRAF (673)"	33	2	0.116928446771379	67	0.00349040139616056	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"BRAF (673)"	31	1	0.116928446771379	67	0.00174520069808028	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"BRAF (673)"	2	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"BRAF (673)"	45	3	0.116928446771379	67	0.00523560209424084	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"BRAF (673)"	2	1	0.116928446771379	67	0.00174520069808028	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"BRAF (673)"	14	1	0.0487804878048781	4	0.0121951219512195	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"BRAF (673)"	25	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"BRAF (673)"	1	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"BRAF (673)"	8	1	0.0487804878048781	4	0.0121951219512195	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"BRAF (673)"	19	1	0.0487804878048781	4	0.0121951219512195	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"BRAF (673)"	8	0	0.0487804878048781	4	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"BRAF (673)"	9	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"BRAF (673)"	10	0	0.0487804878048781	4	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"BRAF (673)"	1	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"BRAF (673)"	20	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"BRAF (673)"	3	1	0.116928446771379	67	0.00174520069808028	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"BRAF (673)"	5	1	0.116928446771379	67	0.00174520069808028	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"BRAF (673)"	11	0	0.0487804878048781	4	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"BRAF (673)"	25	3	0.116928446771379	67	0.00523560209424084	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"BRAF (673)"	16	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Head And Neck"	"Adult"	"BRAF (673)"	33	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Liver"	"Adult"	"BRAF (673)"	21	2	0.116928446771379	67	0.00349040139616056	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
"Endometrial/Uterine"	"Adult"	"BRAF (673)"	22	0	0.116928446771379	67	0	"0.119246593610997"	"0.442063875669245"	"Fraction of
adult lines
dependent"
