"DepMap_ID"	"stripped_cell_line_name"	"CCLE_Name"	"alias"	"COSMIC_ID"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"disease"	"disease_subtype"	"age"	"Sanger_model_ID"	"additional_info"	"Type_for_Manuscript"	"Class_for_Manuscript"	"Estimated_Doubling_Time_Hours"	"LiteratureSearch_Age_Sex_Match_DepMap_Annotation"	"LiteratureSearch_Previous_Treatment"	"LiteratureSearch_Previous_Treatment_Details"	"LiteratureSearch_Paper_PMC_ID"	"LiteratureSearch_Year_Earliest_Citation"	"LiteratureSearch_Other_Annotations"	"Dependency"	"RNAseq"	"WES"	"SangerWES"	"SNParray"
"ACH-000099"	"SIMA"	"SIMA_AUTONOMIC_GANGLIA"	""	753620	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_wt"	"Male"	"DSMZ"	3	-3.34035528506777	"Adherent"	"RPMI-1640: 10%FBS"	"41"	"CVCL_1695"	"autonomic_ganglia"	""	"Neuroblastoma"	""	1.6666	"SIDM00395"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"two blocks chemo (type unspecified) + surgery"	"10686945"	1999	"this sample is from recurrent abdominal mass"	"DepMap"	"CCLE"	"CCLE"	"Sanger"	"CCLE"
"ACH-000100"	"RH41"	"RH41_SOFT_TISSUE"	""	1240210	"soft_tissue"	"rhabdomyosarcoma"	"alveolar"	""	"Female"	"DSMZ"	0	-2.80643757539777	"Adherent"	"RPMI; 10% FBS"	"24.8"	"CVCL_2176"	"liver"	"Metastasis"	"Sarcoma"	"Rhabdomyosarcoma, alveolar"	NA	"SIDM00426"	""	"Rhabdomyosarcoma"	"Pediatric"	NA	"cellosaurus lists as 7YO"	"Pre-treated"	""	"23882450"	2000	""	"no"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000120"	"CHP212"	"CHP212_AUTONOMIC_GANGLIA"	""	906820	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Male"	"ATCC"	4	-3.06655922919029	"Adherent"	"EMEM:F12 (1:1); 10% FBS"	"54.8"	"CVCL_1125"	"central_nervous_system"	""	"Neuroblastoma"	""	NA	"SIDM00910"	""	"Neuroblastoma"	"Pediatric"	NA	"Paper lists as 22 mo (closer to 2Y)"	"None"	""	"7139592"	1982	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000126"	"KG1C"	"KG1C_CENTRAL_NERVOUS_SYSTEM"	""	NA	"central_nervous_system"	"glioma"	"oligodendroglioma"	""	"Male"	"HSRRB"	NA	NA	""	""	""	"CVCL_2971"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Oligodendroglioma"	13	"SIDM00784"	""	"Pediatric Glioma"	"Pediatric"	NA	"Y"	"Unknown"	""	"222111"	1979	""	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000136"	"CHP126"	"CHP126_AUTONOMIC_GANGLIA"	""	910567	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Female"	"DSMZ"	NA	NA	""	""	""	"CVCL_1123"	"autonomic_ganglia"	"Primary"	"Neuroblastoma"	""	1	"SIDM00286"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"None"	""	"10079"	1976	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000149"	"SKNSH"	"SKNSH_AUTONOMIC_GANGLIA"	""	717431	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_wt"	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0531"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	4	"SIDM01098"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"vincristine, cyclophosphamide, daunomycin; trifluoromethyl- 2'-deoxyuridine and adriamycin"	"4748425"	1973	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000160"	"BT12"	"BT12_SOFT_TISSUE"	""	NA	"soft_tissue"	"ATRT"	""	""	"Female"	"Academic lab"	2	-3.57514502107109	"Adherent"	"DMEM; 10% FBS"	"21.3"	"CVCL_M155"	"soft_tissue"	""	"Rhabdoid"	"Atypical Teratoid Rhabdoid Tumor (ATRT)"	0.1	""	""	"Rhabdoid"	"Pediatric"	NA	"Y"	"None"	""	"20922763; 17446062"	2007	"labeled as brain in Kang et al"	"DepMap"	"CCLE"	"DepMap"	"no"	"no"
"ACH-000169"	"RD"	"RD_SOFT_TISSUE"	""	909264	"soft_tissue"	"rhabdomyosarcoma"	"embryonal"	""	"Female"	"ATCC"	2	-4.69378509944411	"Adherent"	"DMEM:HAM's F12  1:1;5% FBS; .005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	"18.9"	"CVCL_1649"	"soft_tissue"	"Primary"	"Sarcoma"	"Rhabdomyosarcoma, embryonal"	7	"SIDM00847"	""	"Rhabdomyosarcoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"\"\"large doses\"\" of cyclophosphamide"	"4241949; 23882450"	1969	"this paper describes creation of 2 cell lines from same pt, one pre-radiation tc and one post, but does not specify which RD is"	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000172"	"TM87"	"TM87_SOFT_TISSUE"	"TM87"	NA	"soft_tissue"	"malignant_rhabdoid_tumor"	""	""	"Unknown"	"Academic lab"	2	-2.12805816893481	"Adherent"	"DMEM; 10% FBS"	"69.7"	"CVCL_8001"	"pleural_effusion"	"Metastasis"	"Rhabdoid"	"Malignant Rhabdoid Tumor"	NA	""	""	"Rhabdoid"	"Pediatric"	NA	""	"Pre-treated"	""	"1747867"	1991	"If this is TM87.16? 1.75Y Male, chemotherapy and radiation"	"no"	"CCLE"	"DepMap"	"no"	"no"
"ACH-000201"	"A204"	"A204_SOFT_TISSUE"	""	910784	"soft_tissue"	"malignant_rhabdoid_tumor"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_1058"	"soft_tissue"	"Primary"	"Rhabdoid"	"Malignant Rhabdoid Tumor"	1	"SIDM00798"	""	"Rhabdoid"	"Pediatric"	NA	"Y"	"Unknown"	""	"4357758"	1973	""	"no"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000203"	"NH6"	"NH6_AUTONOMIC_GANGLIA"	""	NA	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Female"	"HSRRB"	0	-1.12927000338314	"Adherent"	"RPMI-1640: 10%FBS"	"55"	"CVCL_1606"	"autonomic_ganglia"	"Metastasis"	"Neuroblastoma"	""	0.75	""	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"None"	""	"2004381"	1991	""	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000210"	"CADOES1"	"CADOES1_BONE"	"CADO-ES-1"	753539	"bone"	"Ewing_sarcoma"	""	"EWS_ERG"	"Female"	"DSMZ"	0	-1.58069751102701	"Suspension"	"RPMI; 10% FBS"	"2.2"	"CVCL_1103"	"pleural_effusion"	"Metastasis"	"Bone Cancer"	"Ewings Sarcoma"	19	"SIDM00961"	""	"Ewing"	"Pediatric"	NA	"Y"	"Pre-treated"	""	"1756482"	1991	""	"no"	"CCLE"	"CCLE"	"Sanger"	"CCLE"
"ACH-000211"	"DAOY"	"DAOY_CENTRAL_NERVOUS_SYSTEM"	""	906833	"central_nervous_system"	"medulloblastoma"	""	"non_MYC"	"Male"	"ATCC"	2	-4.68542943235559	"Adherent"	"EMEM: 90.0% 10%FBS"	"8.4"	"CVCL_1167"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Medulloblastoma"	4	"SIDM00887"	""	"Medulloblastoma"	"Pediatric"	NA	"Y"	"None"	""	"2993532"	1985	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000227"	"KPNYN"	"KPNYN_AUTONOMIC_GANGLIA"	""	907314	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Male"	"HSRRB"	3	-1.67159181833404	"Adherent"	"RPMI-1640: 10%FBS"	"47.1"	"CVCL_1341"	"lymph_node"	"Metastasis"	"Neuroblastoma"	""	2	"SIDM00556"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"2019470"	1991	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000259"	"KELLY"	"KELLY_AUTONOMIC_GANGLIA"	""	753618	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Female"	"DSMZ"	3	-5.19826394569033	"Adherent"	"RPMI-1640: 10%FBS"	"28.3"	"CVCL_2092"	"autonomic_ganglia"	"Primary"	"Neuroblastoma"	""	NA	"SIDM01009"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	""	"7139592"	1992	"This was a marrow sample"	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000260"	"SKNAS"	"SKNAS_AUTONOMIC_GANGLIA"	""	724828	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_wt"	"Female"	"ATCC"	3	-5.77624101232482	"Adherent"	"DMEM; 10% FBS; NEAA"	"16.2"	"CVCL_1700"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	6	"SIDM01101"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"2987426"	1983	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000279"	"EWS502"	"EWS502_BONE"	""	NA	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Unknown"	"Academic lab"	2	-4.55066787636403	"Adherent"	"RPMI; 15% FBS; 2mM glutamine"	"15.7"	"CVCL_S740"	"bone"	""	"Bone Cancer"	"Ewings Sarcoma"	NA	""	""	"Ewing"	"Pediatric"	NA	"N/A"	"Unknown"	""	"16766266"	2006	""	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000310"	"IMR32"	"IMR32_AUTONOMIC_GANGLIA"	""	NA	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Male"	"ATCC"	3	-1.88874866689307	"Adherent"	"EMEM, 10%FBS"	"39.9"	"CVCL_0346"	"abdomen"	"Metastasis"	"Neuroblastoma"	""	1	"SIDM00226"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"None"	""	"5459762; 922665; 7139592"	1970	""	"DepMap"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000312"	"SKNBE2"	"SKNBE2_AUTONOMIC_GANGLIA"	""	NA	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Male"	"ATCC"	4	-3.24154699410398	"Adherent"	"EMEM:F12 (1:1); 10% FBS"	"49.1"	"CVCL_0528"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	2	"SIDM00894"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"doxorubicin, vincristine; localized radiotherapy"	"9850071"	1975	""	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000341"	"SKNFI"	"SKNFI_AUTONOMIC_GANGLIA"	""	688087	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_wt"	"Male"	"ATCC"	2	-2.19327977555977	"Adherent"	"DMEM; 10% FBS; NEAA"	"69"	"CVCL_1702"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	11	"SIDM01099"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"2987426"	1983	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000345"	"KPNRTBM1"	"KPNRTBM1_AUTONOMIC_GANGLIA"	""	924189	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Female"	"HSRRB"	NA	NA	""	""	""	"CVCL_1339"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	NA	"SIDM00557"	""	"Neuroblastoma"	"Pediatric"	NA	"Cellosaurus and article lists as 1Y"	"None"	""	"3731124"	1986	""	"no"	"CCLE"	"CCLE"	"Sanger"	"CCLE"
"ACH-000359"	"MG63"	"MG63_BONE"	""	908131	"bone"	"osteosarcoma"	""	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_0426"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	14	"SIDM00525"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"883813; 1208022"	1977	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000364"	"U2OS"	"U2OS_BONE"	"U2-OS, U-2 OS"	909776	"bone"	"osteosarcoma"	""	""	"Female"	"ATCC"	2	-3.88718012333055	"Adherent"	"McCoy's 5A; 10% FBS"	"52.6"	"CVCL_0042"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	15	"SIDM01191"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"6081590"	1967	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000366"	"SKNDZ"	"SKNDZ_AUTONOMIC_GANGLIA"	""	688086	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Female"	"ATCC"	2	-4.25293396434133	"Adherent"	"DMEM; 10% FBS; NEAA"	"21.3"	"CVCL_1701"	"bone_marrow"	"Metastasis"	"Neuroblastoma"	""	2	"SIDM01100"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"2987426"	1983	""	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000375"	"G402"	"G402_SOFT_TISSUE"	""	907298	"soft_tissue"	"malignant_rhabdoid_tumor"	"renal_leiomyoblastoma"	""	"Female"	"ATCC"	2	-3.2810179994898	"Adherent"	"McCoy's 5A;10% FBS;"	"18.9"	"CVCL_1221"	"kidney"	"Primary"	"Kidney Cancer"	"Renal Leiomyoblastoma"	0.75	"SIDM00855"	""	"Rhabdoid"	"Pediatric"	NA	"Y"	"Unknown"	""	"20164919"	2010	""	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000391"	"MHHES1"	"MHHES1_BONE"	""	908134	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Male"	"DSMZ"	2	-2.7174268603081	"Adherent"	"RPMI; 10% FBS"	"38.6"	"CVCL_1411"	"ascites"	"Metastasis"	"Bone Cancer"	"Ewings Sarcoma"	12	"SIDM00386"	""	"Ewing"	"Pediatric"	NA	"Y"	"Unknown"	""	"10.1016/0165-4608(89)90568-2"	1989	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000410"	"SAOS2"	"SAOS2_BONE"	""	909707	"bone"	"osteosarcoma"	""	""	"Female"	"ATCC"	2	-5.25897500092833	"Adherent"	"McCoy's 5A; 15% FBS"	"40"	"CVCL_0548"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	11	"SIDM01084"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"RTG, methotrexate, adriamycin, vincristine, cytoxan, and aramycin-C"	"833871; 25031706"	1971	"chemo is according to ATCC"	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"no"
"ACH-000424"	"TC71"	"TC71_BONE"	""	1240221	"bone"	"Ewing_sarcoma"	""	""	"Male"	"DSMZ"	2	-2.40500688775356	"Adherent"	"IMDM; 10% FBS"	"42.6"	"CVCL_2213"	"bone"	"Primary"	"Bone Cancer"	"Ewings Sarcoma"	22	"SIDM00419"	""	"Ewing"	"Pediatric"	NA	"Y"	"Pre-treated"	""	"20922763; 24312454"	1981	""	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000446"	"KPNSI9S"	"KPNSI9S_AUTONOMIC_GANGLIA"	""	NA	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_wt"	"Male"	"HSRRB"	0	-1.0497965292793	"Adherent"	"RPMI-1640: 10%FBS"	"46"	"CVCL_1340"	"autonomic_ganglia"	"Metastasis"	"Neuroblastoma"	""	NA	""	""	"Neuroblastoma"	"Pediatric"	NA	"Cellosaurus lists as 5Y"	"Pre-treated"	""	"2019470"	1991	""	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000499"	"EW8"	"EW8_BONE"	""	NA	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Male"	"Academic lab"	2	-2.87273112358389	"Adherent"	"DMEM; 10% FBS; 2mM L-glutamine"	"43.2"	"CVCL_V618"	"bone"	""	"Bone Cancer"	"Ewings Sarcoma"	NA	""	""	"Ewing"	"Pediatric"	NA	"Y"	"Unknown"	""	"26351324; 25010205"	2014	""	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000533"	"NCIH2004RT"	"NCIH2004RT_SOFT_TISSUE"	""	NA	"soft_tissue"	"malignant_rhabdoid_tumor"	""	""	"Unknown"	"Academic lab"	NA	NA	""	""	""	"CVCL_WS70"	"soft_tissue"	""	"Rhabdoid"	"Malignant Rhabdoid Tumor"	NA	""	""	"Rhabdoid"	"Pediatric"	NA	"N/A"	"Pre-treated"	""	"31068700"	2019	""	"no"	"CCLE"	"DepMap"	"no"	"no"
"ACH-000597"	"TTC709"	"TTC709_SOFT_TISSUE"	""	NA	"soft_tissue"	"malignant_rhabdoid_tumor"	""	""	"Unknown"	"Academic lab"	NA	NA	""	""	""	"CVCL_8007"	"soft_tissue"	""	"Rhabdoid"	"Malignant Rhabdoid Tumor"	NA	""	""	"Rhabdoid"	"Pediatric"	NA	"N/A"	"Unknown"	""	"10602515"	1999	""	"no"	"CCLE"	"DepMap"	"no"	"no"
"ACH-000607"	"KYM1"	"KYM1_SOFT_TISSUE"	""	1240166	"soft_tissue"	"malignant_rhabdoid_tumor"	""	""	"Male"	"HSRRB"	2	-3.13681661733038	""	"D:F(1:1) 10%FBS, http://cellbank.nibio.go.jp/~cellbank/en/search_res_det.cgi?RNO=jcrb0627"	"52.7"	"CVCL_3007"	"soft_tissue"	"Primary"	"Rhabdoid"	"Malignant Rhabdoid Tumor"	1	"SIDM00552"	""	"Rhabdoid"	"Pediatric"	NA	"cellosaurus lists as 9M (0.75 Y)"	"None"	""	"3830265"	1985	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000613"	"HOS"	"HOS_BONE"	""	907060	"bone"	"osteosarcoma"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0312"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	13	"SIDM00806"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"2823272; 19787792"	1987	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000622"	"KNS42"	"KNS42_CENTRAL_NERVOUS_SYSTEM"	""	907282	"central_nervous_system"	"glioma"	"glioblastoma"	""	"Male"	"HSRRB"	2	-3.12387349364684	"Adherent"	"EMEM; 5% FBS"	"38.1"	"CVCL_0378"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	16	"SIDM00607"	""	"Pediatric Glioma"	"Pediatric"	NA	"Y"	"None"	""	"2448680"	1987	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000671"	"HUH6"	"HUH6_LIVER"	""	NA	"liver"	"hepatoblastoma"	""	""	"Male"	"RIKEN"	2	-4.75379739606075	"Adherent"	"DMEM; 10% FBS"	"14.8"	"CVCL_4381"	"liver"	""	"Liver Cancer"	"Hepatoblastoma"	NA	"SIDM00062"	""	"Hepatoblastoma"	"Pediatric"	NA	"cellosaurus lists as 1Y "	"Unknown"	""	"57894"	1976	""	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000689"	"RH18"	"RH18_SOFT_TISSUE"	""	971774	"soft_tissue"	"rhabdomyosarcoma"	""	""	"Female"	"DSMZ"	NA	NA	""	""	""	"CVCL_1659"	"soft_tissue"	""	"Sarcoma"	"Rhabdomyosarcoma"	2	"SIDM00454"	""	"Rhabdomyosarcoma"	"Pediatric"	NA	"Y"	"None"	""	"23882450"	1987	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000748"	"SJSA1"	"SJSA1_BONE"	""	909717	"bone"	"osteosarcoma"	""	""	"Male"	"ATCC"	1	-4.50229503432828	"Adherent"	"RPMI; 10% FBS"	"44.7"	"CVCL_1697"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	19	"SIDM01112"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"None"	""	"2766305"	1989	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000772"	"TE441T"	"TE441T_SOFT_TISSUE"	""	924248	"soft_tissue"	"rhabdomyosarcoma"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_1754"	"soft_tissue"	""	"Sarcoma"	"Rhabdomyosarcoma"	14	"SIDM01173"	""	"Rhabdomyosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"20164919"	2010	""	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
