"DepMap_ID"	"stripped_cell_line_name"	"CCLE_Name"	"alias"	"COSMIC_ID"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"disease"	"disease_subtype"	"age"	"Sanger_model_ID"	"additional_info"	"Type_for_Manuscript"	"Class_for_Manuscript"	"Estimated_Doubling_Time_Hours"	"LiteratureSearch_Age_Sex_Match_DepMap_Annotation"	"LiteratureSearch_Previous_Treatment"	"LiteratureSearch_Previous_Treatment_Details"	"LiteratureSearch_Paper_PMC_ID"	"LiteratureSearch_Year_Earliest_Citation"	"LiteratureSearch_Other_Annotations"	"Dependency"	"RNAseq"	"WES"	"SangerWES"	"SNParray"
"ACH-000015"	"NCIH1581"	"NCIH1581_LUNG"	"NCI-H2077"	908471	"lung"	"NSCLC"	"NSCLC_large_cell"	""	"Male"	"ATCC"	2	-4.22615693843515	"Adherent"	"DMEM:F12 (1:1); 5% FBS"	"52.8"	"CVCL_1479"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"	44	"SIDM00748"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000016"	"SLR21"	"SLR21_KIDNEY"	""	NA	"kidney"	"renal_cell_carcinoma"	""	""	"Unknown"	"Academic lab"	NA	NA	""	""	""	"CVCL_V607"	"kidney"	"Metastasis"	"Kidney Cancer"	"Renal Cell Carcinoma"	NA	""	""	"Kidney"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000017"	"SKBR3"	"SKBR3_BREAST"	""	NA	"breast"	"breast_carcinoma"	"ERneg_HER2pos"	"HER2_amp"	"Female"	"ATCC"	2	-2.93225006169742	"Semi-adherent"	"McCoy's 5A; 10% FBS"	"27.1"	"CVCL_0033"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	43	"SIDM00897"	""	"Breast"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000018"	"T24"	"T24_URINARY_TRACT"	""	724812	"urinary_tract"	"bladder_carcinoma"	""	""	"Female"	"ATCC"	2	-2.94569122205808	"Adherent"	"McCoy 5A: 90.0%"	"34.8"	"CVCL_0554"	"urinary_tract"	"Primary"	"Bladder Cancer"	"Carcinoma"	81	"SIDM01184"	""	"Bladder"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000019"	"MCF7"	"MCF7_BREAST"	""	905946	"breast"	"breast_carcinoma"	"ERpos_HER2neg"	"luminal"	"Female"	"ATCC"	2	-2.49367545213139	"Adherent"	"EMEM 10% FBS ;.01mg/ml Bovine Insulin"	"35"	"CVCL_0031"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	69	"SIDM00148"	""	"Breast"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000021"	"NCIH1693"	"NCIH1693_LUNG"	""	687802	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Female"	"ATCC"	4	-3.61505092795088	"Adherent"	"RPMI; 10% FBS"	"14.1"	"CVCL_1488"	"lymph_node"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	55	"SIDM00742"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000022"	"PATU8988S"	"PATU8988S_PANCREAS"	""	NA	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Female"	"DSMZ"	2	-4.87259707423847	"Adherent"	"DMEM: 90.0%;10%FBS, 2mMGlutamax"	"6.3"	"CVCL_1846"	"liver"	"Metastasis"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	64	"SIDM00452"	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000023"	"PATU8988T"	"PATU8988T_PANCREAS"	""	1240201	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Female"	"DSMZ"	NA	NA	""	""	""	"CVCL_1847"	"liver"	"Metastasis"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	64	"SIDM00453"	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000025"	"CH157MN"	"CH157MN_CENTRAL_NERVOUS_SYSTEM"	""	NA	"central_nervous_system"	"meningioma"	""	""	"Female"	"Academic lab"	2	-4.18694684116818	"Semi-adherent"	"DMEM; 10% FBS"	"7.2"	"CVCL_5723"	"central_nervous_system"	""	"Brain Cancer"	"Meningioma"	NA	""	""	"Meningioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000026"	"253JBV"	"253JBV_URINARY_TRACT"	""	NA	"urinary_tract"	"bladder_carcinoma"	""	""	"Male"	"KCLB"	0	-1.68547053699626	"Light Adherent or Suspension"	"DMEM; 10% FBS"	"11"	"CVCL_7937"	"lymph_node"	"Metastasis"	"Bladder Cancer"	"Carcinoma"	53	""	""	"Bladder"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"no"
"ACH-000027"	"GOS3"	"GOS3_CENTRAL_NERVOUS_SYSTEM"	""	NA	"central_nervous_system"	"glioma"	"glioblastoma"	""	"Male"	"DSMZ"	NA	NA	""	""	""	"CVCL_2050"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	55	""	""	"Glioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000028"	"KPL1"	"KPL1_BREAST"	""	NA	"breast"	"breast_carcinoma"	"ERpos_HER2neg"	"luminal"	"Female"	"DSMZ"	3	-3.41465475547097	"Adherent"	"DMEM;10% FBS;"	"30.4"	"CVCL_2094"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	50	"SIDM00147"	""	"Breast"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000029"	"HCC827GR5"	"HCC827GR5_LUNG"	"HCC827 GR5"	NA	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Female"	"Academic lab"	2	-4.51994918834749	"Adherent"	"RPMI; 5% FBS"	"50.9"	"CVCL_V622"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	39	""	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"no"	"no"
"ACH-000030"	"PC14"	"PC14_LUNG"	""	753608	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Male"	"RIKEN"	3	-5.41598669075182	"Adherent"	"RPMI; 10% FBS"	"8.4"	"CVCL_1640"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	"SIDM00237"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000031"	"PANC0213"	"PANC0213_PANCREAS"	""	NA	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_1634"	"pancreas"	"Primary"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	64	""	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000033"	"NCIH1819"	"NCIH1819_LUNG"	""	NA	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Female"	"Academic lab"	NA	NA	""	""	""	"CVCL_1497"	"lymph_node"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"no"
"ACH-000035"	"NCIH1650"	"NCIH1650_LUNG"	""	687800	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Male"	"ATCC"	2	-3.02329575034401	"Adherent"	"RPMI; 10% FBS"	"8.5"	"CVCL_1483"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	27	"SIDM00745"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000036"	"U343"	"U343_CENTRAL_NERVOUS_SYSTEM"	""	NA	"central_nervous_system"	"glioma"	"glioblastoma"	""	"Unknown"	"Academic lab"	2	-3.53606402358353	"Adherent"	"DMEM; 10% FBS"	"17.8"	"CVCL_4773"	"central_nervous_system"	""	"Brain Cancer"	"Glioblastoma"	64	""	""	"Glioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000037"	"S117"	"S117_THYROID"	""	NA	"soft_tissue"	"thyroid_sarcoma"	""	""	"Female"	"DSMZ"	2	-4.075906648225	"Adherent"	"RPMI; 10% FBS"	"23.6"	"CVCL_1674"	"soft_tissue"	""	"Sarcoma"	"Thyroid Sarcoma"	47	"SIDM00035"	""	"Sarcoma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000040"	"U118MG"	"U118MG_CENTRAL_NERVOUS_SYSTEM"	""	687588	"central_nervous_system"	"glioma"	"astrocytoma"	""	"Male"	"ATCC"	2	-3.78550201590484	"Adherent"	"DMEM; 10% FBS"	"30.9"	"CVCL_0633"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Astrocytoma"	NA	"SIDM01193"	""	"Glioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000042"	"PANC0203"	"PANC0203_PANCREAS"	""	1298475	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Female"	"ATCC"	4	-3.34918985804401	"Adherent"	"RPMI-1640,10%FBS, 1mM sodium pyruvate"	"11.1"	"CVCL_1633"	"pancreas"	"Primary"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	70	"SIDM01139"	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"CCLE"	"Sanger"	"CCLE"
"ACH-000043"	"HS895T"	"HS895T_FIBROBLAST"	""	NA	"fibroblast"	"fibroblast_skin"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0993"	"fibroblast"	"Metastasis"	"Fibroblast"	"Skin"	48	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000044"	"MDAMB134VI"	"MDAMB134VI_BREAST"	""	NA	"breast"	"breast_ductal_carcinoma"	"ERpos_HER2neg"	"luminal"	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0617"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Breast Ductal Carcinoma"	47	"SIDM00005"	""	"Breast"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000046"	"ACHN"	"ACHN_KIDNEY"	""	905950	"kidney"	"renal_cell_carcinoma"	""	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_1067"	"pleural_effusion"	"Metastasis"	"Kidney Cancer"	"Renal Cell Carcinoma"	22	"SIDM00123"	""	"Kidney"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000047"	"GCIY"	"GCIY_STOMACH"	""	906869	"gastric"	"gastric_adenocarcinoma"	""	""	"Female"	"RIKEN"	2	-5.02342582263254	"Adherent"	"MEM; 15% FBS"	"10.4"	"CVCL_1228"	"ascites"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	NA	"SIDM00274"	""	"Gastric"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000048"	"TOV112D"	"TOV112D_OVARY"	""	1299070	"ovary"	"ovary_adenocarcinoma"	"endometrioid"	""	"Female"	"ATCC"	2	-3.09079412709297	"Adherent"	"MCDB 105:Medium 199 (1:1); 15% FBS; 1.5g/L NaHCO3"	"52.4"	"CVCL_3612"	"ovary"	"Primary"	"Ovarian Cancer"	"Adenocarcinoma, endometrioid"	42	"SIDM01170"	""	"Ovarian"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000049"	"HEKTE"	"HEKTE_KIDNEY"	""	NA	"engineered_kidney"	""	""	""	"Unknown"	"Academic lab"	NA	NA	""	""	""	"CVCL_WS59"	"kidney"	""	"Engineered"	""	NA	""	""	"Immortalized"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000054"	"HT1080"	"HT1080_SOFT_TISSUE"	""	907064	"soft_tissue"	"fibrosarcoma"	""	""	"Male"	"ATCC"	2	-3.87193508000369	"Adherent"	"EMEM; 10.0% FBS"	"14.1"	"CVCL_0317"	"soft_tissue"	"Metastasis"	"Sarcoma"	"Fibrosarcoma"	35	"SIDM00828"	""	"Fibrosarcoma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000058"	"ML1"	"ML1_THYROID"	""	1240178	"thyroid"	"thyroid_carcinoma"	"follicular"	""	"Unknown"	"DSMZ"	NA	NA	""	""	""	"CVCL_H525"	"thyroid"	""	"Thyroid Cancer"	"Carcinoma, follicular"	NA	"SIDM00442"	""	"Thyroid"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000060"	"PANC1005"	"PANC1005_PANCREAS"	""	925348	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Male"	"ATCC"	2	-3.42263342080136	"Adherent"	"RPMI; 15% FBS; 2mM Glutamine; 1.5 g/L Sodium bicarbonate; 4.5g/L glucose; 10mM HEPES; 1mM Sodium Pyruvate; 10 units/mL Insulin"	"6.8"	"CVCL_1639"	"pancreas"	"Primary"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	56	"SIDM01135"	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000062"	"RERFLCMS"	"RERFLCMS_LUNG"	""	910931	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Male"	"JCRB"	NA	NA	""	""	""	"CVCL_1655"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	"SIDM00355"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000063"	"HS616T"	"HS616T_FIBROBLAST"	""	NA	"fibroblast"	"fibroblast_lymphocyte"	""	""	"Male"	""	NA	NA	""	""	""	"CVCL_0825"	"fibroblast"	""	"Fibroblast"	"Lymphoma"	16	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000064"	"SALE"	"SALE_LUNG"	""	NA	"engineered_lung"	""	""	""	"Unknown"	"Academic lab"	NA	NA	""	""	""	"CVCL_WS60"	"lung"	""	"Engineered"	""	NA	""	""	"Immortalized"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000066"	"HCC4006"	"HCC4006_LUNG"	""	NA	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_1269"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000067"	"HS683"	"HS683_CENTRAL_NERVOUS_SYSTEM"	""	1240150	"central_nervous_system"	"glioma"	"oligodendroglioma"	""	"Male"	"ATCC"	2	-3.66495970879869	"Adherent"	"DMEM; 10% FBS"	"39.3"	"CVCL_0844"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Oligodendroglioma"	76	"SIDM00666"	""	"Glioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000071"	"HS706T"	"HS706T_BONE"	""	NA	"fibroblast"	"fibroblast_bone"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0863"	"fibroblast"	""	"Fibroblast"	"Bone"	16	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000075"	"U87MG"	"U87MG_CENTRAL_NERVOUS_SYSTEM"	""	687590	"central_nervous_system"	"glioma"	"astrocytoma"	""	"Unknown"	"ATCC"	2	-2.31895816037099	"Adherent"	"EMEM; 10% FBS"	"37.9"	"CVCL_0022"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Astrocytoma"	44	"SIDM01189"	""	"Glioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000079"	"TE125T"	"TE125T_FIBROBLAST"	""	NA	"fibroblast"	"fibroblast_soft_tissue"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_1740"	"fibroblast"	""	"Fibroblast"	"Soft tissue"	1	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000083"	"HS281T"	"HS281T_FIBROBLAST"	""	NA	"fibroblast"	"fibroblast_breast"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0715"	"fibroblast"	""	"Fibroblast"	"Breast"	37	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000085"	"T3M4"	"T3M4_PANCREAS"	""	NA	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"Male"	"RIKEN"	1	-2.8620326229823	"Adherent"	"Ham F-10: 90.0%;10%FBS"	"7.1"	"CVCL_4056"	"lymph_node"	"Primary"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	64	""	""	"Pancreatic"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000086"	"ACCMESO1"	"ACCMESO1_PLEURA"	""	NA	"lung"	"mesothelioma"	""	""	"Female"	"RIKEN"	2	-4.05406939467259	"Adherent"	"R10+Glutamax-1;sodium pyruvate"	"21.4"	"CVCL_5113"	"pleura"	""	"Lung Cancer"	"Mesothelioma"	61	""	""	"Mesothelioma"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000088"	"HS172T"	"HS172T_FIBROBLAST"	""	NA	"fibroblast"	"fibroblast_urinary_tract"	""	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_0660"	"fibroblast"	""	"Fibroblast"	"Bladder"	50	""	""	"Fibroblast"	"Fibroblast"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000089"	"NCIH684"	"NCIH684_LARGE_INTESTINE"	""	NA	"colorectal"	"colorectal_adenocarcinoma"	""	""	"Male"	"KCLB"	NA	NA	""	""	""	"CVCL_9980"	"liver"	"Metastasis"	"Colon/Colorectal Cancer"	"Adenocarcinoma"	55	""	""	"Colon/Colorectal"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"DepMap"	"DepMap"	"no"	"no"
"ACH-000090"	"PC3"	"PC3_PROSTATE"	""	905934	"prostate"	"prostate_adenocarcinoma"	""	""	"Male"	"ATCC"	0	-2.13461502233115	"Adherent"	"RPMI; 10% FBS"	"41.6"	"CVCL_0035"	"bone"	"Metastasis"	"Prostate Cancer"	"Adenocarcinoma"	62	"SIDM00088"	""	"Prostate"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000091"	"OV56"	"OV56_OVARY"	""	1480362	"ovary"	"ovary_adenocarcinoma"	"serous"	""	"Female"	"ECACC"	NA	NA	""	""	""	"CVCL_2673"	"ascites"	"Metastasis"	"Ovarian Cancer"	"Adenocarcinoma, serous"	46	"SIDM00475"	""	"Ovarian"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
